time,lasttime,lat,lng,speed,course,altitude,Clb,comment
2020-05-09 11:20:18,2020-05-09 11:20:18,52.40767,20.95847,15,110,384.35,5.2," Type=RS41"
2020-05-09 11:20:24,2020-05-09 11:20:24,52.40768,20.95878,13,111,412.09,5.2," Type=RS41"
2020-05-09 11:20:31,2020-05-09 11:20:31,52.40768,20.95928,15,84,448.97,5.5," Type=RS41"
2020-05-09 11:20:36,2020-05-09 11:20:36,52.40769,20.95962,20,131,475.49,6.0," Type=RS41"
2020-05-09 11:20:45,2020-05-09 11:20:45,52.40755,20.96027,20,107,525.48,5.3," Type=RS41"
2020-05-09 11:20:50,2020-05-09 11:20:50,52.40736,20.96071,28,119,553.82,4.8," Type=RS41"
2020-05-09 11:20:55,2020-05-09 11:20:55,52.40723,20.96106,20,95,581.56,4.2," Type=RS41"
2020-05-09 11:21:00,2020-05-09 11:21:00,52.40714,20.96151,22,110,610.51,7.1," 404.50MHz Type=RS41"
2020-05-09 11:21:05,2020-05-09 11:21:05,52.40702,20.96186,20,101,640.69,5.3," 404.50MHz Type=RS41"
2020-05-09 11:21:10,2020-05-09 11:21:10,52.40692,20.96229,22,109,668.12,5.8," t=14.1C 404.50MHz Type=RS41"
2020-05-09 11:21:15,2020-05-09 11:21:15,52.40682,20.96261,17,109,702.26,7.3," t=13.7C 404.50MHz Type=RS41"
2020-05-09 11:21:20,2020-05-09 11:21:20,52.40673,20.96288,15,130,741.58,8.7," t=13.4C 404.50MHz Type=RS41"
2020-05-09 11:21:25,2020-05-09 11:21:25,52.40650,20.96335,31,109,776.02,5.7," t=13.1C 404.50MHz Type=RS41"
2020-05-09 11:21:30,2020-05-09 11:21:30,52.40635,20.96371,20,117,811.68,9.2," t=12.8C 404.50MHz Type=RS41"
2020-05-09 11:21:35,2020-05-09 11:21:35,52.40620,20.96416,24,131,847.34,5.7," t=12.5C 404.50MHz Type=RS41-SG"
2020-05-09 11:21:40,2020-05-09 11:21:40,52.40616,20.96448,17,72,886.36,6.4," t=12.1C 404.50MHz Type=RS41-SG"
2020-05-09 11:21:45,2020-05-09 11:21:45,52.40604,20.96466,15,134,920.19,8.2," t=11.7C 404.50MHz Type=RS41-SG"
2020-05-09 11:21:50,2020-05-09 11:21:50,52.40588,20.96513,26,116,959.21,8.3," t=11.4C 404.50MHz Type=RS41-SG"
2020-05-09 11:21:55,2020-05-09 11:21:55,52.40576,20.96553,24,104,994.87,7.8," t=11.0C 404.50MHz Type=RS41-SG"
