time,lasttime,lat,lng,speed,course,altitude,Clb,comment
2020-05-09 05:22:30,2020-05-09 05:22:30,48.78072,2.02404,4,350,2246.68,3.0," t=4.8C 400.998 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:23:00,2020-05-09 05:23:00,48.78208,2.02410,22,38,2371.95,3.8," t=4.2C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:23:30,2020-05-09 05:23:30,48.78273,2.02461,20,20,2474.98,3.3," t=3.6C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:24:00,2020-05-09 05:24:00,48.78348,2.02490,20,355,2578.00,3.0," t=2.9C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:24:30,2020-05-09 05:24:30,48.78377,2.02501,22,33,2596.59,3.7," t=2.9C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:25:00,2020-05-09 05:25:00,48.78527,2.02480,20,1,2800.50,4.1," t=1.6C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:25:30,2020-05-09 05:25:30,48.78629,2.02502,20,29,2911.75,4.5," t=1.1C 400.999 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:26:00,2020-05-09 05:26:00,48.78644,2.02490,22,324,2964.48,4.1," t=0.8C 400.998 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:27:30,2020-05-09 05:27:30,48.78880,2.02306,13,35,3449.42,4.5," t=-2.4C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:28:00,2020-05-09 05:28:00,48.78952,2.02289,26,329,3594.51,5.9," t=-3.2C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:28:30,2020-05-09 05:28:30,48.79036,2.02320,11,145,3742.33,4.7," t=-3.9C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:29:00,2020-05-09 05:29:00,48.79104,2.02366,22,78,3883.46,4.0," t=-4.9C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:29:30,2020-05-09 05:29:30,48.79169,2.02381,20,43,4019.40,6.4," t=-5.9C 400.999 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:30:00,2020-05-09 05:30:00,48.79251,2.02471,22,320,4169.05,2.6," t=-6.7C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:30:30,2020-05-09 05:30:30,48.79348,2.02513,35,48,4309.57,6.4," t=-7.4C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:31:00,2020-05-09 05:31:00,48.79490,2.02680,19,13,4455.57,5.4," t=-8.4C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:31:30,2020-05-09 05:31:30,48.79605,2.02781,22,27,4587.24,6.8," t=-9.4C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:32:00,2020-05-09 05:32:00,48.79771,2.02923,6,33,4751.22,5.0," t=-10.7C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:32:30,2020-05-09 05:32:30,48.79831,2.03028,39,52,4840.53,4.7," t=-11.4C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:33:00,2020-05-09 05:33:00,48.80033,2.03279,46,23,5006.95,3.8," t=-12.5C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:33:30,2020-05-09 05:33:30,48.80269,2.03524,43,46,5172.76,4.4," t=-13.6C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:34:00,2020-05-09 05:34:00,48.80428,2.03564,17,47,5302.61,4.4," t=-12.8C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:34:30,2020-05-09 05:34:30,48.80502,2.03706,7,60,5419.95,4.8," t=-14.2C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:35:00,2020-05-09 05:35:00,48.80580,2.03886,24,83,5573.88,7.0," t=-15.2C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:35:30,2020-05-09 05:35:30,48.80621,2.04015,26,46,5722.92,5.3," t=-16.2C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:36:00,2020-05-09 05:36:00,48.80654,2.04260,17,157,5837.22,4.8," t=-16.9C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:36:30,2020-05-09 05:36:30,48.80689,2.04393,30,69,5910.99,3.9," t=-17.5C 400.999 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:37:00,2020-05-09 05:37:00,48.80758,2.04750,26,50,6085.64,3.2," t=-18.5C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:37:30,2020-05-09 05:37:30,48.80836,2.05076,39,59,6227.98,5.4," t=-19.6C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:38:00,2020-05-09 05:38:00,48.80893,2.05404,52,92,6365.14,4.4," t=-20.6C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:38:30,2020-05-09 05:38:30,48.80946,2.05803,37,89,6506.87,4.2," t=-21.8C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:39:00,2020-05-09 05:39:00,48.80991,2.06196,41,82,6625.44,5.6," t=-22.7C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:39:30,2020-05-09 05:39:30,48.81033,2.06555,31,69,6766.56,4.2," t=-23.6C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:40:00,2020-05-09 05:40:00,48.81092,2.06966,28,93,6895.19,4.3," t=-24.6C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:40:30,2020-05-09 05:40:30,48.81177,2.07394,57,59,7032.35,3.8," t=-25.7C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:41:00,2020-05-09 05:41:00,48.81275,2.07859,31,91,7153.35,3.5," t=-26.8C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:41:30,2020-05-09 05:41:30,48.81352,2.08345,26,83,7273.44,3.2," t=-27.8C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:42:00,2020-05-09 05:42:00,48.81415,2.08792,31,62,7388.66,3.9," t=-28.6C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:42:30,2020-05-09 05:42:30,48.81470,2.09291,37,76,7503.57,3.2," t=-29.5C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:43:00,2020-05-09 05:43:00,48.81540,2.09776,46,55,7616.34,3.6," t=-30.3C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:43:30,2020-05-09 05:43:30,48.81610,2.10285,48,75,7734.60,4.4," t=-31.3C 400.999 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:44:00,2020-05-09 05:44:00,48.81693,2.10814,57,62,7855.61,3.0," t=-32.3C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:44:30,2020-05-09 05:44:30,48.81784,2.11335,46,75,7959.85,4.0," t=-33.1C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:45:00,2020-05-09 05:45:00,48.81891,2.11806,41,68,8065.92,3.2," t=-33.9C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:45:30,2020-05-09 05:45:30,48.81991,2.12198,43,73,8160.41,3.6," t=-35.0C 400.999 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:46:00,2020-05-09 05:46:00,48.82119,2.12701,39,61,8288.12,3.7," t=-36.0C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:46:30,2020-05-09 05:46:30,48.82253,2.13144,43,70,8399.98,3.9," t=-37.0C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:47:00,2020-05-09 05:47:00,48.82379,2.13596,39,63,8510.02,3.7," t=-37.9C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:47:30,2020-05-09 05:47:30,48.82512,2.14045,44,65,8626.14,3.8," t=-39.1C 400.999 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:48:00,2020-05-09 05:48:00,48.82650,2.14472,41,64,8737.70,3.7," t=-40.1C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:48:30,2020-05-09 05:48:30,48.82776,2.14910,39,65,8848.65,3.8," t=-41.1C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:49:00,2020-05-09 05:49:00,48.82910,2.15363,39,66,8963.86,3.5," t=-42.1C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:49:30,2020-05-09 05:49:30,48.83043,2.15818,48,68,9078.16,3.6," t=-43.2C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:50:00,2020-05-09 05:50:00,48.83153,2.16296,41,67,9193.68,3.4," t=-44.1C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
2020-05-09 05:50:30,2020-05-09 05:50:30,48.83253,2.16794,48,72,9311.03,4.2," t=-45.4C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:51:00,2020-05-09 05:51:00,48.83339,2.17324,50,76,9432.04,4.0," t=-46.1C 401.000 MHz Type=M10 Radiosonde auto_rx v1.2.2"
2020-05-09 05:51:30,2020-05-09 05:51:30,48.83386,2.17870,50,82,9552.43,4.2," t=-47.2C 401.000 MHz Type=M10 Radiosonde auto_rx v1.3.0"
