time,lasttime,lat,lng,speed,course,altitude,comment
2020-05-09 16:46:48,2020-05-09 16:46:48,49.42436,11.89705,19,219,1106.42,"Clb=6.6m/s Type=RS41 Details zu http://radiosondy.info"
2020-05-09 16:46:58,2020-05-09 16:46:58,49.42401,11.89664,17,222,1172.57,"Clb=7.0m/s Type=RS41 Details zu http://radiosondy.info"
2020-05-09 16:47:08,2020-05-09 16:47:08,49.42376,11.89636,13,257,1235.96,"Clb=7.0m/s Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:47:18,2020-05-09 16:47:18,49.42360,11.89622,7,154,1298.45,"Clb=6.7m/s Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:47:28,2020-05-09 16:47:30,49.42332,11.89612,9,180,1355.45,"Clb=6.7m/s t=-273.0C 402.700 MHz Type=RS41-SGP Radiosonde http://bit.ly/2Bj4Sfk auto_rx v1.3.1"
2020-05-09 16:47:49,2020-05-09 16:47:49,49.42271,11.89595,11,194,1477.37,"Clb=6.3m/s 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:47:58,2020-05-09 16:47:58,49.42242,11.89585,13,189,1527.05,"Clb=6.0m/s Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:48:09,2020-05-09 16:48:09,49.42216,11.89566,9,235,1592.58,"Clb=6.6m/s 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:48:19,2020-05-09 16:48:19,49.42214,11.89559,4,82,1653.84,"Clb=5.7m/s 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:48:26,2020-05-09 16:48:26,49.42205,11.89561,6,105,1695.91,"Clb=5.4m/s t=8.2C 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:48:39,2020-05-09 16:48:39,49.42202,11.89580,6,136,1774.85,"Clb=6.0m/s 402.70MHz Type=RS41-SGP Details zu http://radiosondy.info"
2020-05-09 16:48:49,2020-05-09 16:48:50,49.42203,11.89602,7,99,1834.29,"Clb=7.1m/s t=-273.0C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:48:55,2020-05-09 16:48:55,49.42202,11.89619,2,77,1865.07,"Clb=6.4m/s t=-273.0C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:00,2020-05-09 16:49:00,49.42205,11.89633,9,78,1895.25,"Clb=6.3m/s t=-273.0C 402.701 MHz Type=RS41 Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:05,2020-05-09 16:49:05,49.42203,11.89658,11,83,1925.12,"Clb=6.7m/s t=-273.0C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:10,2020-05-09 16:49:10,49.42204,11.89684,15,64,1954.68,"Clb=5.9m/s t=-273.0C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:15,2020-05-09 16:49:15,49.42209,11.89710,17,63,1983.64,"Clb=5.6m/s t=8.1C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:20,2020-05-09 16:49:20,49.42215,11.89736,17,75,2013.81,"Clb=6.8m/s t=7.9C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:25,2020-05-09 16:49:25,49.42225,11.89765,26,54,2046.12,"Clb=6.6m/s t=7.7C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:30,2020-05-09 16:49:30,49.42239,11.89807,26,69,2075.08,"Clb=6.1m/s t=7.6C 402.701 MHz Type=RS41 Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:35,2020-05-09 16:49:35,49.42253,11.89845,20,61,2104.95,"Clb=6.2m/s t=7.4C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:40,2020-05-09 16:49:40,49.42266,11.89879,22,67,2136.04,"Clb=5.8m/s t=7.3C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:45,2020-05-09 16:49:45,49.42281,11.89917,24,64,2167.13,"Clb=6.4m/s t=7.0C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:50,2020-05-09 16:49:50,49.42297,11.89957,20,64,2197.91,"Clb=6.5m/s t=6.7C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:49:55,2020-05-09 16:49:55,49.42313,11.89996,24,60,2228.39,"Clb=6.6m/s t=6.5C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:50:00,2020-05-09 16:50:00,49.42331,11.90038,24,61,2259.18,"Clb=8.3m/s t=6.2C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:50:05,2020-05-09 16:50:05,49.42347,11.90078,26,47,2293.32,"Clb=8.4m/s t=5.9C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:50:10,2020-05-09 16:50:10,49.42372,11.90118,26,39,2325.01,"Clb=6.9m/s t=5.7C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:50:15,2020-05-09 16:50:15,49.42393,11.90159,20,66,2358.54,"Clb=7.0m/s t=5.5C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
2020-05-09 16:50:20,2020-05-09 16:50:20,49.42412,11.90198,28,41,2389.63,"Clb=7.2m/s t=5.2C 402.701 MHz Type=RS41-SGP Radiosonde auto_rx v1.3.1"
