time,lasttime,lat,lng,speed,course,altitude,comment
2020-05-09 05:18:35,2020-05-09 05:18:35,53.00311,-1.24822,2,334,1217.98,"Clb=5.7m/s t=-273.0C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:19:05,2020-05-09 05:19:05,53.00326,-1.24633,22,105,1369.16,"Clb=4.4m/s t=8.1C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:19:35,2020-05-09 05:19:35,53.00280,-1.24496,20,121,1516.99,"Clb=5.0m/s t=7.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:20:05,2020-05-09 05:20:05,53.00285,-1.24296,9,82,1670.00,"Clb=5.0m/s t=6.5C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:20:35,2020-05-09 05:20:35,53.00333,-1.24190,17,60,1824.53,"Clb=4.7m/s t=5.3C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:21:05,2020-05-09 05:21:05,53.00335,-1.24044,17,101,1994.92,"Clb=5.0m/s t=3.7C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:21:35,2020-05-09 05:21:35,53.00295,-1.23874,22,129,2157.68,"Clb=4.4m/s t=2.4C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:22:05,2020-05-09 05:22:05,53.00290,-1.23686,15,147,2310.08,"Clb=4.0m/s t=1.4C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:22:35,2020-05-09 05:22:35,53.00279,-1.23569,20,81,2469.49,"Clb=4.9m/s t=0.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:23:05,2020-05-09 05:23:05,53.00300,-1.23354,15,134,2624.94,"Clb=6.1m/s t=-1.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:24:35,2020-05-09 05:24:35,53.00232,-1.22649,7,159,3105.30,"Clb=5.7m/s t=-4.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:25:05,2020-05-09 05:25:05,53.00205,-1.22476,11,44,3280.87,"Clb=7.7m/s t=-4.8C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:25:35,2020-05-09 05:25:35,53.00216,-1.22287,11,14,3443.33,"Clb=5.7m/s t=-5.6C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:26:05,2020-05-09 05:26:05,53.00252,-1.22115,9,120,3601.52,"Clb=5.1m/s t=-6.5C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:26:35,2020-05-09 05:26:35,53.00322,-1.21949,17,87,3770.99,"Clb=7.8m/s t=-7.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:27:05,2020-05-09 05:27:05,53.00393,-1.21670,26,62,3931.92,"Clb=6.5m/s t=-8.0C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:27:35,2020-05-09 05:27:35,53.00404,-1.21344,30,58,4099.56,"Clb=5.8m/s t=-9.4C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:28:05,2020-05-09 05:28:05,53.00422,-1.21039,13,62,4260.80,"Clb=5.6m/s t=-10.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:28:35,2020-05-09 05:28:35,53.00406,-1.20776,20,101,4421.43,"Clb=6.8m/s t=-11.0C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:29:05,2020-05-09 05:29:05,53.00380,-1.20494,7,130,4584.80,"Clb=6.1m/s t=-12.0C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:29:35,2020-05-09 05:29:35,53.00347,-1.20275,26,86,4736.59,"Clb=3.7m/s t=-13.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:30:05,2020-05-09 05:30:05,53.00376,-1.20020,15,77,4891.43,"Clb=7.2m/s t=-14.7C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:30:35,2020-05-09 05:30:35,53.00451,-1.19784,26,65,5048.71,"Clb=3.9m/s t=-16.0C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:31:05,2020-05-09 05:31:05,53.00517,-1.19404,39,89,5213.91,"Clb=5.9m/s t=-15.8C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:31:35,2020-05-09 05:31:35,53.00581,-1.19038,41,61,5386.43,"Clb=6.9m/s t=-17.2C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:32:05,2020-05-09 05:32:05,53.00659,-1.18722,20,33,5553.76,"Clb=7.4m/s t=-18.5C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:33:05,2020-05-09 05:33:05,53.00730,-1.18219,20,86,5865.27,"Clb=6.8m/s t=-21.1C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:33:35,2020-05-09 05:33:35,53.00763,-1.17940,15,68,6026.81,"Clb=4.9m/s t=-22.0C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:34:05,2020-05-09 05:34:05,53.00791,-1.17767,24,75,6193.54,"Clb=7.2m/s t=-22.9C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:34:35,2020-05-09 05:34:35,53.00789,-1.17635,7,134,6355.38,"Clb=6.3m/s t=-23.9C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:35:06,2020-05-09 05:35:06,53.00798,-1.17412,22,82,6521.50,"Clb=7.3m/s t=-24.5C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.1"
2020-05-09 05:35:30,2020-05-09 05:35:30,53.00769,-1.17247,19,142,6677.86,"Clb=3.1m/s t=-25.8C 404.201 MHz Type=RS41-SG Radiosonde auto_rx v1.3.0"
