time,lat,lon,altitude
1589028180,53.0031,-1.24822,0
1589028230,53.0026,-1.24947,250
1589028280,53.0021,-1.25074,500
1589028330,53.0016,-1.25192,750
1589028380,53.0013,-1.25294,1000
1589028430,53.0011,-1.25365,1250
1589028480,53.0011,-1.25388,1500
1589028530,53.0015,-1.2536,1750
1589028580,53.0021,-1.25273,2000
1589028630,53.0028,-1.25119,2250
1589028680,53.0036,-1.24907,2500
1589028730,53.0044,-1.24653,2750
1589028780,53.0051,-1.2437,3000
1589028830,53.006,-1.24067,3250
1589028880,53.007,-1.23753,3500
1589028930,53.0081,-1.23425,3750
1589028980,53.0093,-1.23065,4000
1589029030,53.0106,-1.22655,4250
1589029080,53.0119,-1.22206,4500
1589029130,53.0134,-1.21728,4750
1589029180,53.0152,-1.21231,5000
1589029230,53.0172,-1.20728,5250
1589029280,53.0195,-1.20228,5500
1589029330,53.022,-1.19737,5750
1589029380,53.0246,-1.19235,6000
1589029430,53.0271,-1.18711,6250
1589029480,53.0295,-1.18159,6500
1589029530,53.0318,-1.17569,6750
1589029580,53.034,-1.16936,7000
1589029630,53.0362,-1.16254,7250
1589029680,53.0383,-1.15517,7500
1589029730,53.0404,-1.14719,7750
1589029780,53.0425,-1.13859,8000
1589029830,53.0447,-1.12935,8250
1589029880,53.047,-1.11956,8500
1589029930,53.0495,-1.10925,8750
1589029980,53.0522,-1.09851,9000
1589030030,53.0552,-1.08738,9250
1589030080,53.0583,-1.07602,9500
1589030130,53.0615,-1.06452,9750
1589030180,53.0649,-1.05289,10000
1589030230,53.0683,-1.04112,10250
1589030280,53.0716,-1.02923,10500
1589030330,53.0748,-1.01719,10750
1589030380,53.0779,-1.00501,11000
1589030430,53.0808,-0.992713,11250
1589030480,53.0835,-0.980356,11500
1589030530,53.0859,-0.967943,11750
1589030580,53.0882,-0.955507,12000
1589030630,53.0904,-0.943119,12250
1589030680,53.0924,-0.930782,12500
1589030730,53.0942,-0.918522,12750
1589030780,53.0958,-0.906624,13000
1589030830,53.0972,-0.89517,13250
1589030880,53.0982,-0.884163,13500
1589030930,53.0991,-0.873596,13750
1589030980,53.0999,-0.863393,14000
1589031030,53.1007,-0.853535,14250
1589031080,53.1015,-0.844019,14500
1589031130,53.1023,-0.834843,14750
1589031180,53.1031,-0.82597,15000
1589031230,53.1037,-0.817288,15250
1589031280,53.1042,-0.808792,15500
1589031330,53.1046,-0.800485,15750
1589031380,53.1049,-0.79237,16000
1589031430,53.105,-0.784451,16250
1589031480,53.105,-0.776738,16500
